id,label
0,1
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,0
336,1
337,0
338,1
339,1
340,0
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,0
396,1
397,0
398,0
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,1
413,1
414,1
415,0
416,1
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,1
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,1
573,0
574,0
575,0
576,1
577,1
578,0
579,1
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,0
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,1
621,0
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,1
630,1
631,0
632,0
633,1
634,1
635,1
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,1
648,1
649,0
650,0
651,1
652,0
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,1
670,1
671,0
672,0
673,1
674,1
675,0
676,0
677,1
678,1
679,0
680,1
681,0
682,0
683,1
684,0
685,0
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,1
694,0
695,1
696,0
697,0
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,1
710,0
711,0
712,0
713,1
714,1
715,1
716,1
717,1
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,0
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,0
736,0
737,0
738,1
739,0
740,1
741,0
742,1
743,0
744,0
745,1
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,0
765,1
766,0
767,1
768,1
769,0
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,1
814,0
815,1
816,0
817,1
818,1
819,0
820,0
821,0
822,1
823,0
824,0
825,1
826,0
827,1
828,1
829,0
830,1
831,0
832,0
833,1
834,1
835,0
836,0
837,0
838,1
839,0
840,1
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,1
849,1
850,1
851,0
852,0
853,1
854,0
855,1
856,1
857,0
858,0
859,1
860,1
861,0
862,0
863,0
864,1
865,0
866,0
867,1
868,0
869,1
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,1
879,0
880,1
881,1
882,0
883,0
884,1
885,0
886,0
887,0
888,1
889,0
890,1
891,0
892,0
893,0
894,0
895,1
896,1
897,1
898,0
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,1
907,1
908,1
909,0
910,0
911,0
912,1
913,0
914,0
915,0
916,0
917,1
918,1
919,0
920,0
921,1
922,0
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,1
931,1
932,0
933,0
934,1
935,0
936,0
937,0
938,1
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,1
949,0
950,0
951,1
952,0
953,1
954,0
955,0
956,0
957,1
958,1
959,0
960,0
961,1
962,1
963,0
964,0
965,1
966,1
967,1
968,1
969,0
970,0
971,0
972,0
973,1
974,1
975,0
976,0
977,0
978,0
979,1
980,0
981,0
982,0
983,0
984,0
985,1
986,1
987,0
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,1
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,1
1046,1
1047,0
1048,0
1049,1
1050,1
1051,0
1052,0
1053,0
1054,0
1055,1
1056,1
1057,0
1058,0
1059,0
1060,1
1061,1
1062,1
1063,0
1064,0
1065,1
1066,0
1067,0
1068,0
1069,0
1070,1
1071,0
1072,1
1073,0
1074,0
1075,1
1076,1
1077,0
1078,0
1079,0
1080,1
1081,0
1082,0
1083,1
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,1
1093,1
1094,0
1095,0
1096,1
1097,0
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,1
1108,0
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,0
1125,0
1126,0
1127,0
1128,0
1129,1
1130,0
1131,0
1132,0
1133,1
1134,1
1135,0
1136,1
1137,1
1138,0
1139,1
1140,1
1141,0
1142,1
1143,0
1144,1
1145,1
1146,0
1147,1
1148,1
1149,1
1150,0
1151,0
1152,0
1153,1
1154,0
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,1
1162,0
1163,0
1164,1
1165,1
1166,0
1167,1
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,1
1182,0
1183,1
1184,1
1185,0
1186,0
1187,1
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,1
1195,1
1196,1
1197,0
1198,1
1199,0
1200,0
1201,0
1202,1
1203,1
1204,0
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
1221,1
1222,1
1223,0
1224,1
1225,0
1226,0
1227,0
1228,0
1229,0
1230,1
